Exercise,Hip Adductors,Hip Flexors,Tensor fasciae latae,Gluteus Maximus,Gluteus Medius,Calves,Hamstring,Quads,Sartorius,Tibialis Anterior,Erector Spinae,Infraspinatus,Latissimus Dorsi,Teres,Trapezius,Anterior Delts,Lateral Delts,Posterior Delts,Biceps,Forearms,Triceps,Abdominals,Obliques,Seratus Anterior,Cardio
Pushups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0
Pullups,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0
Squat,1,1,1,1,1,1,1,1,1,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Handstand,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Running,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
back fist,,,,,,,,,,,0.5,0.5,,,,,,1,,,1,1,1,1,1
ball slams,,,,1,,,,1,,,,,,,,1,1,1,,,1,1,,,1
around room lizard crawl,1,1,,1,,,,1,1,,1,1,0.5,1,,1,1,1,1,1,1,1,,,
battle ropes,,,,,,,,,,,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,,,1
bear crawl,,,,1,,,,,,,,,,,,1,1,1,,1,1,1,,,
bicep curls,,,,,,,,,,,,,,,,,,,1,0.75,0.75,0.5,,,
bentover rear delt flys,,,,,,,1,,,,0.5,0.5,1,1,1,,,1,,1,,,,,
burpees,,1,,1,,,1,1,,,1,0.5,,,1,1,1,1,,0.5,1,1,0.5,,1
cross body mountain climber,1,1,,1,1,,,1,,1,1,1,,,,1,1,1,,,1,1,1,1,1
db clean,,,,1,1,1,1,1,,,,,,,1,,,,,1,,,,,0.5
db forward lunges,,1,,1,1,1,1,1,0.5,,1,1,,,,,,,,,,1,,,0.5
db wood choppers,0.5,0.5,,1,1,,1,1,,,1,1,,,,,,,,,,1,1,,0.5
decline pushups,,,,,,,,,,,0.5,0.5,,,,1,,0.5,,,1,0.5,0.5,0.5,
dumbbell bench press,,,,,,,,,,,,,,,,0.5,,1,,,0.5,,,,
dumbbell or kettlebell snatches,1,1,1,1,1,,1,1,1,0.5,1,1,,,,1,1,1,,1,,1,1,1,0.5
forearm plank,,,,1,,,,1,,,1,,,1,1,1,1,,,,,1,1,1,
forward duck walk,,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,
glute bridges,1,1,,1,1,,1,,,,1,1,,,,,,,,,,1,,,
hammer curls,,,,,,,,,,,,,,,,,,,1,1,,,,,
hanging knee raise,,1,,1,,,,,,,,,,,,,,,,1,,1,1,1,
hard round kicks,1,1,1,0.5,1,1,1,1,1,,,,,,,,,,,,,,,,1
hip circles,1,1,1,1,0.5,,0.5,0.5,0.5,,,,,,,,,,,,,,,,
hold low sumo squat,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,1,,,
inverted rows,,,,,,,,,,,0.25,0.25,,,1,,,1,1,1,,0.5,,,
jacks,1,,,,,1,,,,,1,1,,,,1,1,1,,,,1,1,1,1
jump rope,,,,0.5,0.5,1,,,,,,,,,,1,1,1,,,,1,,,1
lawn mower pull,,,,,,,,,,,1,,1,1,1,,,1,1,,,,,,0.5
overhead press,,,,1,1,1,1,1,,,,,,,1,1,1,1,1,,1,1,,,0.5
plank jacks,1,1,,1,1,,,1,,,,,,,,1,1,1,1,,1,1,1,,1
renegade rows,,,,,,,,,,,0.5,,,,,1,,,,1,,1,1,1,0.5
fire hydrant,1,1,1,,1,,,,,,,,,,,,,,,,,,,,
pistol squat,0.5,0.5,0.5,1,1,,0.5,1,1,0.5,0.5,,,,,,,,,,,1,1,,
scorpion,,,,1,,,1,,,,,,,,0.25,0.25,,,0.25,,,,,,
v-sit,,1,,,,,,,,,,,,,,,,,,,,1,1,1,
side plank,0.5,,,,,,,1,,,,,,,,,,,,,,1,1,,
side tri rises,,,,,,,,,,,,,0.5,,,0.5,0.25,0.25,,0.5,1,0.25,0.5,,
stairs,,,,1,1,1,1,1,,,,,,,,,,,,,,1,,,1
supermans,,,,1,,,,,,,,,,,0.5,,0.5,0.5,,,,,,,
toe taps,,,,1,1,1,1,1,,,,,,,,,,,,,,0.75,,,1
trx tricep extensions,,,,,,,,,,,,,0.5,,,,,,,0.5,1,,,,
